Rank,Name,Wealth (in $1B USD),Country Headquartered,Company,Industry
1,Bill Gates,81,United States,Microsoft,Investments
2,Warren Buffett,78,United States,Berkshire Hathaway,Investments
3,Jeff Bezos,72,United States,Amazon,Online Retail
4,Amancio Ortega,69,Spain,Inditex,Single Brand Retailing
5,Mark Zuckerberg,58,United States,Facebook,Technology
6,Larry Ellison,48,United States,Oracle,Technology
7,Carlos Slim Helu,46,Mexico,America Movil,Investments
8,Charles Koch,43,United States,Koch Industries,Energy
9,David Koch,43,United States,Koch Industries,Energy
10,Michael Bloomberg,42,United States,Bloomberg,Media
11,Bernard Arnault,38,France,LVMH,Single Brand Retailing
12,Larry Page,37,United States,Google,Technology
13,Liliane Bettencourt,37,France,L'Oreal,Cosmetics
14,Sergey Brin,36,United States,Google,Technology
15,Ingvar Kamprad,34,Sweden,Ikea,Single Brand Retailing
16,Alice Walton,31,United States,Walmart,Multi Brand Retailing
17,Jim Walton,31,United States,Walmart,Multi Brand Retailing
18,Robson Walton,31,United States,Walmart,Multi Brand Retailing
19,Wang Jianlin,30,China,Wanda,Real Estate
20,Bertrand Puech,29,France,Hermes,Single Brand Retailing
21,Jack Ma Yun,29,China,"Alibaba, Ant Financial",TMT
22,Phil Knight,29,United States,Nike,Footwear Retail
23,Jacqueline Mars,28,United States,Mars,Food & Beverages
24,John Mars,28,United States,Mars,Food & Beverages
25,Dieter Schwarz,27,Germany,Schwarz Group,Multi Brand Retailing
26,George Soros,27,United States,Soros Fund Management,Hedge Funds
27,Steve Ballmer,27,United States,Microsoft,Technology
28,Wang Wei,27,Hong Kong,SF Express,Express delivery
29,Jorge Paulo Lemann,26,Brazil,AbInbev,Food & Beverages
30,Karl Albrecht Jr,26,Germany,Aldi Sud,Multi Brand Retailing
31,Mukesh Ambani,26,India,Reliance,Oil & Gas
32,Li Ka-shing,25,Hong Kong,Cheung Kong,"Real Estate,Energy,Investments"
33,Masayoshi Son,25,Japan,Softbank,Telecom
34,James & Arthur Irving,24,Canada,Irving Group,Energy
35,Lee Shau Kee,24,Hong Kong,Henderson Land,"Real Estate,Investments"
36,Sheldon Adelson,24,United States,Las Vegas Sands,Casinos
37,Gérard Mulliez,23,France,Auchan,Multi Brand Retailing
38,Maria Franca Fissolo,22,Monaco,Ferrero Rocher,Food & Beverages
39,Pony Ma,22,China,Tencent,IT
40,Paul Allen,21,United States,Vulcan,Investments
41,Carl Icahn,20,United States,Icahn Enterprises,Investments
42,Stefan Persson,20,Sweden,Hennes & Mauritz,Single Brand Retailing
43,Susanne Klatten,20,Germany,BMW,Automobiles & Auto Components
44,David Thomson,19,Canada,Thomson Reuters,Media
45,Galen Weston,19,Canada,George Weston,Food & Beverages
46,Leonard Blavatnik,19,United Kingdom,Lyondellbasell,Energy
47,Ding Lei,18,China,Netease,"IT, Entertainment"
48,Donald Bren,18,United States,Irvine Company,Real Estate
49,Elaine Marshall,18,United States,Koch Industries,Investments
50,Leonardo Del Vecchio,18,Italy,Luxottica,Luxury Goods
51,Stefan Quandt,18,Germany,BMW,Automobiles & Auto Components
52,Dhanin Chearavanont,17,Thailand,Charoen Pokphand Foods,Food & Beverages
53,Georg Schaeffler ,17,Germany,Schaeffler Group,Manufacturing
54,Iris Fontbona,17,Chile,Quinenco,Mining
55,Khalifa bin Zayed Al Nahyan,17,United Arab Emirates,SBK Holdings,Energy
56,Alwaleed Bin Talal Alsaud,16,Saudi Arabia,Kingdom Holding,Investments
57,Charles Ergen,16,United States,Dish Networks,Entertainment
58,Michael Dell,16,United States,Dell,Technology
59,Ray Dalio,16,United States,Bridgewater Associates,Hedge Funds
60,Serge Dassault,16,France,Dassault System,Aviation
61,Zong Qinghou,16,China,Wahaha,Food & Beverages
62,Charoen Sirivadhanabhakdi,15,Thailand,Thai Beverage,Food & Beverages
63,Francois Pinault,15,France,Kering,Multi Brand Retailing
64,Harold Hamm,15,United States,Continental Resources,Energy
65,Hassanal Bolkiah,15,Brunei,Brunei Investment Agency,Energy
66,Henry Cheng,15,Hong Kong,"New World, Chow Tai Fook","Real Estate,Jewellery,Investments"
67,Hugh Grosvenor,15,United Kingdom,Grosvenor,Real Estate
68,James Simons,15,United States,Renaissance Technologies,Hedge Funds
69,Laurene Powell Jobs,15,United States,Walt Disney,Technology
70,Leonid Mikhelson,15,Russia,Novatek,Energy
71,Ronald Perelman,15,United States,Scientific Game,Investments
72,Thomas Peterffy,15,United States,Interactive Brokers,Financial Services
73,Vladimir Potanin,15,Russia,Interros,Steel
74,Yao Zhenhua,15,China,Baoneng,"Investments, Real estate"
75,Alexey Mordashov,14,Russia,Severstal,Steel
76,Dilip Shanghvi,14,India,Sun Pharma,Pharmaceuticals
77,Elon Musk,14,United States,Tesla Motors,Automobiles & Auto Components
78,Emilio Alves Odebrecht,14,Brazil,Odebrecht,Petrochemical
79,Lee Kun Hee,14,South Korea,Samsung,Electronics
80,Li Yanhong、Ma Dongmin,14,China,Baidu,TMT
81,SP Hinduja,14,United Kingdom,Hinduja Group,Manufacturing
82,Stephen Schwarzman,14,United States,Blackstone,Investments
83,Steve Cohen,14,United States,Sac Capital,Hedge Funds
84,Viktor Vekselberg,14,Russia,Renova,Energy
85,Yan Hao,14,China,China Pacific Construction,Construction
86,Abigail Johnson,13,United States,Fidelity,Investments
87,Alain Wertheimer,13,France,Chanel,Single Brand Retailing
88,Gennady Timchenko,13,Switzerland,Gunvor,Energy
89,Gerard Wertheimer,13,France,Chanel,Single Brand Retailing
90,Joseph Lau,13,Hong Kong,Chinese Estates,"Real Estate,Art Collection"
91,Joseph Safra,13,Brazil,Safra,Banking
92,Majid Al Futtaim,13,United Arab Emirates,Majid Al Futtaim,Real Estate
93,Robert Kuok,13,Hong Kong,Kuok Group,Diversified
94,Stefano Pessina,13,Monaco,Walgreen,Pharmaceuticals
